Time 	 Pressure (barg) 	 n_excess (mmol/g) 	 n_abs (mmol/g) 
14-Jul-17 15:55:17 	 2.011656 	 0.038832 	 0.038957 
14-Jul-17 15:55:18 	 2.013951 	 0.038647 	 0.038772 
14-Jul-17 15:55:19 	 2.011382 	 0.038854 	 0.038979 
14-Jul-17 15:55:20 	 2.020049 	 0.038156 	 0.038280 
14-Jul-17 15:55:21 	 2.023252 	 0.037898 	 0.038022 
14-Jul-17 15:55:22 	 2.032411 	 0.037161 	 0.037282 
14-Jul-17 15:55:23 	 2.019740 	 0.038181 	 0.038305 
14-Jul-17 15:55:24 	 2.030327 	 0.037329 	 0.037451 
14-Jul-17 15:55:25 	 2.046295 	 0.036043 	 0.036162 
14-Jul-17 15:55:26 	 2.047103 	 0.035978 	 0.036096 
14-Jul-17 15:55:27 	 2.046134 	 0.036056 	 0.036175 
