Time 	 Pressure (barg) 	 n_excess (mmol/g) 	 n_abs (mmol/g) 
24-Jul-17 17:00:53 	 2.045983 	 0.036404 	 0.036524 
24-Jul-17 17:00:54 	 2.051363 	 0.035972 	 0.036091 
24-Jul-17 17:00:55 	 2.046563 	 0.036357 	 0.036477 
24-Jul-17 17:00:56 	 2.043932 	 0.036568 	 0.036689 
24-Jul-17 17:00:57 	 2.053368 	 0.035812 	 0.035930 
24-Jul-17 17:00:58 	 2.068746 	 0.034579 	 0.034694 
24-Jul-17 17:00:59 	 2.072530 	 0.034275 	 0.034390 
24-Jul-17 17:01:00 	 2.067192 	 0.034703 	 0.034819 
24-Jul-17 17:01:01 	 2.068861 	 0.034569 	 0.034685 
24-Jul-17 17:01:02 	 2.071456 	 0.034361 	 0.034476 
24-Jul-17 17:01:03 	 2.089576 	 0.032908 	 0.033019 
24-Jul-17 17:01:04 	 2.078805 	 0.033772 	 0.033885 
24-Jul-17 17:01:05 	 2.086602 	 0.033147 	 0.033258 
24-Jul-17 17:01:06 	 2.085831 	 0.033209 	 0.033320 
24-Jul-17 17:01:07 	 2.101374 	 0.031962 	 0.032071 
24-Jul-17 17:01:08 	 2.100005 	 0.032072 	 0.032181 
24-Jul-17 17:01:09 	 2.101556 	 0.031948 	 0.032056 
24-Jul-17 17:01:10 	 2.105108 	 0.031663 	 0.031770 
24-Jul-17 17:01:11 	 2.122243 	 0.030289 	 0.030393 
24-Jul-17 17:01:12 	 2.108057 	 0.031427 	 0.031533 
24-Jul-17 17:01:13 	 2.120763 	 0.030408 	 0.030512 
24-Jul-17 17:01:14 	 2.116955 	 0.030713 	 0.030818 
24-Jul-17 17:01:15 	 2.120842 	 0.030401 	 0.030505 
24-Jul-17 17:01:16 	 2.124608 	 0.030100 	 0.030202 
24-Jul-17 17:01:17 	 2.128415 	 0.029794 	 0.029896 
24-Jul-17 17:01:18 	 2.139121 	 0.028936 	 0.029035 
24-Jul-17 17:01:19 	 2.152828 	 0.027837 	 0.027933 
24-Jul-17 17:01:20 	 2.153355 	 0.027795 	 0.027891 
24-Jul-17 17:01:21 	 2.147202 	 0.028288 	 0.028386 
24-Jul-17 17:01:22 	 2.153098 	 0.027815 	 0.027912 
24-Jul-17 17:01:23 	 2.155458 	 0.027626 	 0.027722 
24-Jul-17 17:01:24 	 2.158370 	 0.027392 	 0.027488 
24-Jul-17 17:01:25 	 2.177277 	 0.025876 	 0.025967 
24-Jul-17 17:01:26 	 2.179904 	 0.025666 	 0.025756 
24-Jul-17 17:01:27 	 2.182950 	 0.025422 	 0.025511 
24-Jul-17 17:01:28 	 2.187373 	 0.025067 	 0.025155 
24-Jul-17 17:01:29 	 2.183946 	 0.025342 	 0.025431 
24-Jul-17 17:01:30 	 2.187646 	 0.025045 	 0.025133 
24-Jul-17 17:01:31 	 2.190249 	 0.024836 	 0.024924 
24-Jul-17 17:01:32 	 2.207749 	 0.023433 	 0.023516 
24-Jul-17 17:01:33 	 2.197230 	 0.024277 	 0.024362 
24-Jul-17 17:01:34 	 2.209628 	 0.023282 	 0.023365 
24-Jul-17 17:01:35 	 2.203847 	 0.023746 	 0.023830 
24-Jul-17 17:01:36 	 2.210711 	 0.023196 	 0.023278 
24-Jul-17 17:01:37 	 2.210977 	 0.023174 	 0.023257 
24-Jul-17 17:01:38 	 2.227426 	 0.021855 	 0.021934 
24-Jul-17 17:01:39 	 2.216562 	 0.022726 	 0.022808 
24-Jul-17 17:01:40 	 2.223446 	 0.022175 	 0.022254 
24-Jul-17 17:01:41 	 2.231017 	 0.021567 	 0.021645 
24-Jul-17 17:01:42 	 2.244317 	 0.020501 	 0.020575 
24-Jul-17 17:01:43 	 2.236014 	 0.021167 	 0.021243 
24-Jul-17 17:01:44 	 2.254809 	 0.019660 	 0.019731 
24-Jul-17 17:01:45 	 2.253061 	 0.019800 	 0.019872 
24-Jul-17 17:01:46 	 2.256347 	 0.019537 	 0.019607 
24-Jul-17 17:01:47 	 2.258878 	 0.019334 	 0.019404 
24-Jul-17 17:01:48 	 2.259673 	 0.019270 	 0.019340 
24-Jul-17 17:01:49 	 2.276574 	 0.017915 	 0.017980 
24-Jul-17 17:01:50 	 2.274388 	 0.018090 	 0.018156 
24-Jul-17 17:01:51 	 2.281088 	 0.017553 	 0.017617 
24-Jul-17 17:01:52 	 2.270453 	 0.018405 	 0.018473 
24-Jul-17 17:01:53 	 2.281488 	 0.017521 	 0.017585 
24-Jul-17 17:01:54 	 2.281060 	 0.017555 	 0.017619 
24-Jul-17 17:01:55 	 2.292923 	 0.016604 	 0.016665 
